SITE***	Age (Ma)	Genus	d18O adj.*	d13C	d18O 5pt**	d13C 5pt	"*O-isotope Adustments: CIB (+0.64), NUT (+0.45) (see Shackleton et al., 1984; Shackleton & Hall, 1997)"
849	0.228	CIB	4.15	-0.37	4.12	
607	0.2289	CIB	3.99	0.62	3.93	0.02
659	0.229	CIB	4.01		3.92	-0.01
806	0.232	CIB	3.35	-0.05	3.94	0.29
849	0.232	CIB	4.09	-0.26	4.03	0.17
607	0.2321	CIB	4.28	0.83	3.95	0.33
659	0.235	CIB	4.4		3.97	0.34
607	0.2354	CIB	3.64	0.79	3.93	0.38
806	0.236	CIB	3.42	0	3.8	0.23
849	0.236	CIB	3.91	-0.09	3.61	0.35
659	0.238	CIB	3.63		3.52	0.12
607	0.2387	CIB	3.45	0.7	3.58	0.12
806	0.24	CIB	3.18	-0.12	3.48	0.32
849	0.24	CIB	3.76	-0.03	3.54	0.37
607	0.242	CIB	3.4	0.72	3.58	0.28
607	0.2427	CIB	3.91	0.56	3.73	0.26
659	0.243	CIB	3.64		3.79	0.13
849	0.244	CIB	3.96	-0.2	3.99	0.1
806	0.244	CIB	4.02	-0.57	4.14	0.06
607	0.2451	CIB	4.4	0.62	4.27	-0.02
607	0.2473	CIB	4.7	0.39	4.35	0.03
849	0.248	CIB	4.25	-0.34	4.42	0.09
659	0.248	CIB	4.36		4.48	-0.08
806	0.248	CIB	4.37	-0.32	4.46	-0.05
607	0.2493	CIB	4.7	-0.03	4.48	-0.04
607	0.2515	CIB	4.64	0.5	4.47	-0.1
849	0.252	CIB	4.31	-0.32	4.51	-0.04
806	0.252	CIB	4.31	-0.31	4.46	0.04
659	0.252	CIB	4.57		4.46	-0.12
607	0.2535	CIB	4.44	0.28	4.47	0.16
659	0.255	CIB	4.67		4.45	0.15
607	0.2557	CIB	4.38	0.5	4.4	0.03
806	0.256	CIB	4.2	-0.32	4.41	0.07
849	0.256	CIB	4.33	-0.35	4.33	-0.03
607	0.2576	CIB	4.47	0.47	4.27	-0.2
806	0.259	CIB	4.25	-0.42	4.31	-0.23
607	0.2599	CIB	4.12	-0.39	4.32	-0.19
849	0.26	CIB	4.36	-0.43	4.31	-0.23
659	0.26	CIB	4.41		4.17	0.06
607	0.2619	CIB	4.39	0.33	4.17	0
607	0.2627	CIB	3.55	0.74	4.18	0.01
806	0.263	CIB	4.16	-0.62	4.26	
849	0.264	CIB	4.38	-0.41	4.21	-0.15
659	0.264	CIB	4.8		4.42	-0.44
607	0.2651	CIB	4.14	-0.3	4.47	-0.29
659	0.266	CIB	4.62		4.46	-0.32
607	0.2669	CIB	4.43	-0.15	4.38	-0.35
806	0.267	CIB	4.29	-0.52	4.41	-0.16
849	0.268	CIB	4.44	-0.42	4.38	
607	0.2697	CIB	4.29	0.44	4.38	-0.24
659	0.27	CIB	4.44		4.44	-0.15
849	0.272	CIB	4.44	-0.47	4.36	0.29
659	0.272	CIB	4.61		4.29	0.08
607	0.2724	CIB	4.03	0.91	4.17	0.26
806	0.273	CIB	3.92	-0.19	4.14	0.27
607	0.2752	CIB	3.86	0.77	4.11	
849	0.276	CIB	4.31	-0.4	4.07	0.22
659	0.276	CIB	4.43		4.01	0.24
607	0.2779	CIB	3.85	0.68	4.06	-0.02
806	0.278	CIB	3.61	-0.1	3.99	0
849	0.28	CIB	4.08	-0.25	3.93	
607	0.2825	CIB	3.99	-0.32	3.87	-0.23
659	0.283	CIB	4.1		3.94	-0.24
806	0.284	CIB	3.58	-0.25	3.87	-0.24
849	0.284	CIB	3.95	-0.16	3.92	-0.09
659	0.287	CIB	3.73		3.89	-0.11
607	0.2872	CIB	4.22	0.13	3.87	-0.12
849	0.288	CIB	3.96	-0.16	3.84	-0.11
806	0.29	CIB	3.47	-0.31	3.91	-0.15
659	0.291	CIB	3.83		3.94	-0.25
849	0.292	CIB	4.08	-0.27	4	-0.01
659	0.294	CIB	4.35		4.11	0
607	0.2941	CIB	4.25	0.54	4.16	-0.07
806	0.296	CIB	4.04	-0.25	4.18	0.17
849	0.296	CIB	4.09	-0.3	4.24	
607	0.2965	CIB	4.19	0.69	4.2	-0.03
659	0.299	CIB	4.61		4.27	0.04
849	0.3	CIB	4.08	-0.27	4.24	0.26
659	0.3	CIB	4.41		4.27	0.04
607	0.3018	CIB	3.9	0.36	4.17	-0.04
659	0.303	CIB	4.35		4.12	0.07
849	0.304	CIB	4.09	-0.21	4.01	0.21
659	0.305	CIB	3.83		3.97	0.14
607	0.3059	CIB	3.88	0.49	3.88	0.01
659	0.308	CIB	3.67		3.78	0.22
849	0.308	CIB	3.94	-0.23	3.67	
607	0.3105	CIB	3.57	0.39	3.64	-0.03
659	0.312	CIB	3.29		3.61	0.16
849	0.312	CIB	3.75	-0.25	3.57	0.18
607	0.3152	CIB	3.51	0.72	3.67	0.11
849	0.316	CIB	3.74	-0.14	3.73	0.04
659	0.316	CIB	4.04		3.6	0.24
806	0.318	CIB	3.6	-0.18	3.63	0.05
607	0.3199	CIB	3.09	0.56	3.72	0.12
849	0.32	CIB	3.7	-0.03	3.56	
659	0.32	CIB	4.18		3.56	0.2
659	0.322	CIB	3.25		3.52	0.18
849	0.324	CIB	3.56	0.06	3.4	0.19
607	0.3245	CIB	2.93	0.51	3.28	
806	0.325	CIB	3.05	0.01	3.3	0.17
659	0.327	CIB	3.58		3.24	0.33
849	0.328	CIB	3.39	0.1	3.31	0.27
607	0.3292	CIB	3.24	0.71	3.38	0.27
659	0.331	CIB	3.29		3.33	0.16
849	0.332	CIB	3.41	0.01	3.36	0.1
806	0.333	CIB	3.31	-0.18	3.47	-0.1
607	0.3338	CIB	3.53	-0.12	3.57	-0.11
659	0.335	CIB	3.82		3.65	-0.22
849	0.336	CIB	3.77	-0.13	3.8	-0.25
607	0.3387	CIB	3.81	-0.43	3.94	-0.27
806	0.34	CIB	4.07	-0.3	4.13	-0.27
849	0.34	CIB	4.24	-0.2	4.28	-0.3
607	0.3405	CIB	4.77	-0.27	4.49	-0.26
659	0.341	CIB	4.53		4.41	-0.21
659	0.343	CIB	4.85		4.47	-0.21
806	0.344	CIB	3.64	-0.15	4.42	-0.27
849	0.344	CIB	4.56	-0.22	4.47	
607	0.3442	CIB	4.52	-0.43	4.38	-0.21
659	0.346	CIB	4.79		4.57	-0.24
607	0.347	CIB	4.4	-0.06	4.49	-0.3
849	0.348	CIB	4.6	-0.25	4.48	-0.26
806	0.349	CIB	4.14	-0.46	4.47	-0.16
659	0.349	CIB	4.49		4.48	-0.22
607	0.3503	CIB	4.71	0.14	4.42	-0.28
849	0.352	CIB	4.45	-0.31	4.55	-0.22
806	0.353	CIB	4.33	-0.51	4.53	0.04
659	0.353	CIB	4.79		4.44	0.01
607	0.3536	CIB	4.37	0.83	4.39	-0.06
659	0.355	CIB	4.25		4.41	0.01
806	0.356	CIB	4.23	-0.49	4.39	
849	0.356	CIB	4.4	-0.3	4.34	-0.43
659	0.356	CIB	4.72		4.42	
607	0.3569	CIB	4.12	-0.49	4.39	-0.4
659	0.357	CIB	4.61		4.33	-0.49
659	0.36	CIB	4.1		4.26	-0.41
